Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.4770		2.6183		0.0000		0.1091		0.00500000
2		2.1300		2.3553		0.0000		0.1586		0.00477443
3		2.0182		2.0899		0.0000		0.1894		0.00454766
4		1.9410		2.1845		0.0000		0.1718		0.00431963
5		1.8710		2.0192		0.0000		0.1837		0.00409026
6		1.8181		1.9356		0.0000		0.1999		0.00385945
7		1.7465		1.8572		0.0000		0.1964		0.00362709
8		1.7424		1.9108		0.0000		0.1978		0.00339306
9		1.6843		1.8218		0.0000		0.2084		0.00315723
10		1.6877		1.8565		0.0000		0.2128		0.00291942
11		1.5913		1.7820		0.0000		0.2329		0.00267943
12		1.6010		1.6693		0.0000		0.2523		0.00243703
13		1.5682		1.6861		0.0000		0.2301		0.00219192
14		1.5440		1.5432		0.0000		0.2413		0.00194371
15		1.4930		1.6262		0.0000		0.2332		0.00169192
16		1.4895		1.5174		0.0000		0.2562		0.00143587
17		1.4548		1.5406		0.0000		0.2540		0.00117462
18		1.4703		1.5522		0.0000		0.2495		0.00090668
19		1.4068		1.4584		0.0000		0.2705		0.00062946
20		1.3809		1.5415		0.0000		0.2655		0.00033732
