Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.7543		2.4934		0.0000		0.1239		0.00005000
2		2.3503		2.2625		0.0000		0.1767		0.00005000
3		2.1641		2.1098		0.0000		0.1999		0.00005000
4		2.0126		1.9649		0.0000		0.2179		0.00005000
5		1.8955		1.8816		0.0000		0.2260		0.00004000
6		1.8242		1.8182		0.0000		0.2342		0.00004000
7		1.7689		1.7842		0.0000		0.2411		0.00004000
8		1.7254		1.7503		0.0000		0.2402		0.00004000
9		1.6881		1.7035		0.0000		0.2451		0.00004000
10		1.6536		1.6900		0.0000		0.2467		0.00003200
11		1.6291		1.6494		0.0000		0.2496		0.00003200
12		1.6061		1.6394		0.0000		0.2561		0.00003200
13		1.5876		1.6212		0.0000		0.2514		0.00003200
14		1.5598		1.5934		0.0000		0.2554		0.00003200
15		1.5419		1.5859		0.0000		0.2592		0.00002560
16		1.5259		1.5695		0.0000		0.2627		0.00002560
17		1.5123		1.5491		0.0000		0.2663		0.00002560
18		1.4931		1.5427		0.0000		0.2691		0.00002560
19		1.4836		1.5281		0.0000		0.2678		0.00002560
20		1.4675		1.5171		0.0000		0.2695		0.00002048
21		1.4587		1.5082		0.0000		0.2669		0.00002048
22		1.4485		1.4975		0.0000		0.2705		0.00002048
23		1.4343		1.4884		0.0000		0.2729		0.00002048
24		1.4240		1.4776		0.0000		0.2739		0.00002048
25		1.4146		1.4716		0.0000		0.2739		0.00001638
26		1.4079		1.4540		0.0000		0.2785		0.00001638
27		1.3982		1.4480		0.0000		0.2771		0.00001638
28		1.3863		1.4467		0.0000		0.2768		0.00001638
29		1.3779		1.4394		0.0000		0.2778		0.00001638
30		1.3729		1.4347		0.0000		0.2765		0.00001311
