Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.7743		2.4934		0.0000		0.1323		0.00005000
2		2.3246		2.2007		0.0000		0.1881		0.00005000
3		2.0900		2.0335		0.0000		0.2128		0.00005000
4		1.9604		1.9338		0.0000		0.2253		0.00005000
5		1.8814		1.8975		0.0000		0.2297		0.00002500
6		1.8418		1.8587		0.0000		0.2312		0.00002500
7		1.8053		1.8120		0.0000		0.2343		0.00002500
8		1.7745		1.8033		0.0000		0.2338		0.00002500
9		1.7448		1.7675		0.0000		0.2392		0.00002500
10		1.7217		1.7510		0.0000		0.2404		0.00001250
11		1.7054		1.7425		0.0000		0.2412		0.00001250
12		1.6950		1.7314		0.0000		0.2388		0.00001250
13		1.6810		1.7231		0.0000		0.2429		0.00001250
14		1.6714		1.7086		0.0000		0.2439		0.00001250
15		1.6639		1.7054		0.0000		0.2456		0.00000625
16		1.6558		1.6964		0.0000		0.2449		0.00000625
17		1.6490		1.6927		0.0000		0.2468		0.00000625
18		1.6446		1.6906		0.0000		0.2462		0.00000625
19		1.6400		1.6779		0.0000		0.2467		0.00000625
20		1.6315		1.6757		0.0000		0.2479		0.00000313
21		1.6323		1.6788		0.0000		0.2473		0.00000313
22		1.6282		1.6789		0.0000		0.2469		0.00000313
23		1.6250		1.6682		0.0000		0.2505		0.00000313
24		1.6240		1.6693		0.0000		0.2487		0.00000313
25		1.6225		1.6660		0.0000		0.2502		0.00000156
26		1.6206		1.6684		0.0000		0.2483		0.00000156
27		1.6153		1.6740		0.0000		0.2491		0.00000156
28		1.6192		1.6657		0.0000		0.2502		0.00000156
29		1.6180		1.6621		0.0000		0.2491		0.00000156
30		1.6142		1.6608		0.0000		0.2503		0.00000078
