Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.7789		2.5274		0.0000		0.1104		0.00005000
2		2.3808		2.2403		0.0000		0.1776		0.00005000
3		2.1435		2.0605		0.0000		0.2113		0.00005000
4		1.9809		1.9413		0.0000		0.2272		0.00005000
5		1.8702		1.8331		0.0000		0.2401		0.00005000
6		1.8125		1.8228		0.0000		0.2412		0.00000500
7		1.8043		1.8096		0.0000		0.2409		0.00000500
8		1.7959		1.8080		0.0000		0.2421		0.00000500
9		1.7881		1.7977		0.0000		0.2428		0.00000500
10		1.7782		1.7882		0.0000		0.2428		0.00000500
11		1.7711		1.7811		0.0000		0.2443		0.00000500
12		1.7696		1.7765		0.0000		0.2452		0.00000050
13		1.7652		1.7800		0.0000		0.2451		0.00000050
14		1.7665		1.7796		0.0000		0.2473		0.00000050
15		1.7651		1.7849		0.0000		0.2450		0.00000050
16		1.7637		1.7758		0.0000		0.2462		0.00000050
17		1.7640		1.7827		0.0000		0.2441		0.00000050
18		1.7631		1.7751		0.0000		0.2439		0.00000005
19		1.7635		1.7804		0.0000		0.2458		0.00000005
20		1.7634		1.7763		0.0000		0.2455		0.00000005
