Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.8042		2.5596		0.0000		0.0971		0.00005000
2		2.3808		2.2630		0.0000		0.1621		0.00005000
3		2.1728		2.1041		0.0000		0.2056		0.00005000
4		2.0316		2.0046		0.0000		0.2204		0.00005000
5		1.9296		1.9224		0.0000		0.2159		0.00004000
6		1.8551		1.8504		0.0000		0.2266		0.00004000
7		1.7972		1.8051		0.0000		0.2273		0.00004000
8		1.7499		1.7590		0.0000		0.2379		0.00004000
9		1.7049		1.7235		0.0000		0.2340		0.00004000
10		1.6742		1.7061		0.0000		0.2425		0.00003200
11		1.6478		1.6790		0.0000		0.2512		0.00003200
12		1.6260		1.6803		0.0000		0.2421		0.00003200
13		1.6022		1.6492		0.0000		0.2523		0.00003200
14		1.5792		1.6185		0.0000		0.2618		0.00003200
15		1.5601		1.5963		0.0000		0.2627		0.00002560
16		1.5431		1.5886		0.0000		0.2678		0.00002560
17		1.5273		1.5676		0.0000		0.2702		0.00002560
18		1.5089		1.5513		0.0000		0.2678		0.00002560
19		1.4959		1.5480		0.0000		0.2709		0.00002560
20		1.4796		1.5269		0.0000		0.2712		0.00002048
21		1.4675		1.5174		0.0000		0.2740		0.00002048
22		1.4573		1.5073		0.0000		0.2789		0.00002048
23		1.4431		1.4974		0.0000		0.2768		0.00002048
24		1.4362		1.4836		0.0000		0.2818		0.00002048
25		1.4229		1.4762		0.0000		0.2784		0.00001638
26		1.4111		1.4654		0.0000		0.2832		0.00001638
27		1.4030		1.4662		0.0000		0.2817		0.00001638
28		1.3963		1.4534		0.0000		0.2852		0.00001638
29		1.3879		1.4500		0.0000		0.2847		0.00001638
30		1.3775		1.4387		0.0000		0.2868		0.00001311
