Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.0211		1.9680		0.0000		0.1495		0.00500000
2		1.6983		1.8589		0.0000		0.1730		0.00477443
3		1.5874		1.7163		0.0000		0.1938		0.00454766
4		1.5198		1.6906		0.0000		0.1996		0.00431963
5		1.4091		1.4688		0.0000		0.2452		0.00409026
6		1.3714		1.4944		0.0000		0.2341		0.00385945
7		1.3254		1.3811		0.0000		0.2641		0.00362709
8		1.2720		1.3349		0.0000		0.2714		0.00339306
9		1.2555		1.3695		0.0000		0.2586		0.00315723
10		1.2248		1.2889		0.0000		0.2886		0.00291942
11		1.2006		1.2718		0.0000		0.2864		0.00267943
12		1.1419		1.3125		0.0000		0.2851		0.00243703
13		1.1269		1.2389		0.0000		0.2992		0.00219192
14		1.1191		1.1596		0.0000		0.2970		0.00194371
15		1.0935		1.1700		0.0000		0.3171		0.00169192
16		1.0487		1.1837		0.0000		0.2931		0.00143587
17		1.0535		1.1198		0.0000		0.3124		0.00117462
18		1.0525		1.0904		0.0000		0.3300		0.00090668
19		1.0156		1.1136		0.0000		0.3349		0.00062946
20		1.0410		1.0650		0.0000		0.3386		0.00033732
