Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.7645		2.5023		0.0000		0.1107		0.00005000
2		2.3709		2.2622		0.0000		0.1629		0.00005000
3		2.1739		2.1153		0.0000		0.1923		0.00005000
4		2.0375		1.9985		0.0000		0.2125		0.00005000
5		1.9373		1.9072		0.0000		0.2269		0.00005000
6		1.8780		1.8909		0.0000		0.2290		0.00000500
7		1.8711		1.8834		0.0000		0.2273		0.00000500
8		1.8614		1.8747		0.0000		0.2311		0.00000500
9		1.8505		1.8685		0.0000		0.2311		0.00000500
10		1.8438		1.8604		0.0000		0.2334		0.00000500
11		1.8346		1.8537		0.0000		0.2337		0.00000500
12		1.8311		1.8570		0.0000		0.2340		0.00000050
13		1.8276		1.8512		0.0000		0.2329		0.00000050
14		1.8280		1.8514		0.0000		0.2339		0.00000050
15		1.8297		1.8528		0.0000		0.2335		0.00000050
16		1.8278		1.8532		0.0000		0.2367		0.00000050
17		1.8279		1.8509		0.0000		0.2361		0.00000050
18		1.8270		1.8458		0.0000		0.2344		0.00000005
19		1.8267		1.8537		0.0000		0.2339		0.00000005
20		1.8256		1.8540		0.0000		0.2347		0.00000005
21		1.8267		1.8498		0.0000		0.2322		0.00000005
22		1.8280		1.8542		0.0000		0.2342		0.00000005
23		1.8273		1.8544		0.0000		0.2309		0.00000005
24		1.8270		1.8519		0.0000		0.2360		0.00000001
25		1.8267		1.8464		0.0000		0.2359		0.00000001
26		1.8259		1.8481		0.0000		0.2346		0.00000001
27		1.8288		1.8484		0.0000		0.2333		0.00000001
28		1.8247		1.8511		0.0000		0.2351		0.00000001
29		1.8262		1.8486		0.0000		0.2347		0.00000001
30		1.8261		1.8478		0.0000		0.2353		0.00000000
