Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.6875		2.3673		0.0000		0.1274		0.00005000
2		2.0967		1.8420		0.0000		0.1747		0.00004774
3		1.6545		1.4937		0.0000		0.2137		0.00004548
4		1.3603		1.2765		0.0000		0.2452		0.00004320
5		1.1543		1.1323		0.0000		0.2548		0.00004090
6		1.0060		1.0237		0.0000		0.2667		0.00003859
7		0.8983		0.9251		0.0000		0.2680		0.00003627
8		0.8183		0.8677		0.0000		0.2693		0.00003393
9		0.7578		0.8173		0.0000		0.2812		0.00003157
10		0.7050		0.7727		0.0000		0.2807		0.00002919
11		0.6668		0.7405		0.0000		0.2952		0.00002679
12		0.6316		0.7196		0.0000		0.3111		0.00002437
13		0.6037		0.6915		0.0000		0.3156		0.00002192
14		0.5820		0.6770		0.0000		0.3273		0.00001944
15		0.5633		0.6632		0.0000		0.3316		0.00001692
16		0.5480		0.6518		0.0000		0.3333		0.00001436
17		0.5370		0.6426		0.0000		0.3384		0.00001175
18		0.5267		0.6362		0.0000		0.3389		0.00000907
19		0.5197		0.6333		0.0000		0.3384		0.00000629
20		0.5153		0.6288		0.0000		0.3375		0.00000337
