Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.5943		2.2812		0.0000		0.1486		0.00005000
2		2.0378		1.8209		0.0000		0.1969		0.00004774
3		1.6294		1.5100		0.0000		0.2314		0.00004548
4		1.3549		1.3000		0.0000		0.2498		0.00004320
5		1.1706		1.1603		0.0000		0.2684		0.00004090
6		1.0476		1.0648		0.0000		0.2711		0.00003859
7		0.9598		0.9961		0.0000		0.2713		0.00003627
8		0.8929		0.9425		0.0000		0.2722		0.00003393
9		0.8478		0.9055		0.0000		0.2738		0.00003157
10		0.8126		0.8860		0.0000		0.2742		0.00002919
11		0.7867		0.8675		0.0000		0.2742		0.00002679
12		0.7665		0.8434		0.0000		0.2745		0.00002437
13		0.7494		0.8327		0.0000		0.2745		0.00002192
14		0.7343		0.8228		0.0000		0.2754		0.00001944
15		0.7231		0.8102		0.0000		0.2761		0.00001692
16		0.7119		0.8052		0.0000		0.2768		0.00001436
17		0.7039		0.7968		0.0000		0.2776		0.00001175
18		0.6982		0.7942		0.0000		0.2788		0.00000907
19		0.6925		0.7887		0.0000		0.2789		0.00000629
20		0.6891		0.7865		0.0000		0.2793		0.00000337
