Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.5977		1.5280		0.0000		0.1532		0.00500000
2		1.2845		1.3849		0.0000		0.1866		0.00484975
3		1.1791		1.2691		0.0000		0.1927		0.00469897
4		1.1171		1.1648		0.0000		0.2091		0.00454766
5		1.0372		1.1106		0.0000		0.2263		0.00439579
6		0.9944		1.2278		0.0000		0.2157		0.00424333
7		0.9558		0.9947		0.0000		0.2609		0.00409026
8		0.9392		1.0042		0.0000		0.2622		0.00393655
9		0.9163		0.9605		0.0000		0.2787		0.00378217
10		0.8785		0.9910		0.0000		0.2702		0.00362709
11		0.8823		0.9904		0.0000		0.2734		0.00347127
12		0.8630		1.0869		0.0000		0.2479		0.00331466
13		0.8230		0.9201		0.0000		0.2851		0.00315723
14		0.7991		0.8978		0.0000		0.2897		0.00299892
15		0.8013		0.8469		0.0000		0.3093		0.00283968
16		0.7879		0.8906		0.0000		0.3023		0.00267943
17		0.7756		0.8353		0.0000		0.3119		0.00251812
18		0.7646		0.8881		0.0000		0.3102		0.00235565
19		0.7698		0.7851		0.0000		0.3168		0.00219192
20		0.7431		0.7680		0.0000		0.3196		0.00202682
21		0.7406		0.7744		0.0000		0.3437		0.00186021
22		0.7184		0.8001		0.0000		0.3235		0.00169192
23		0.7187		0.7680		0.0000		0.3234		0.00152174
24		0.7035		0.7573		0.0000		0.3303		0.00134943
25		0.7044		0.7335		0.0000		0.3504		0.00117462
26		0.7003		0.7751		0.0000		0.3442		0.00099686
27		0.6716		0.7483		0.0000		0.3468		0.00081548
28		0.6821		0.7672		0.0000		0.3449		0.00062946
29		0.6738		0.7400		0.0000		0.3462		0.00043701
30		0.6739		0.7390		0.0000		0.3565		0.00023419
