Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.4939		2.3303		0.0000		0.1293		0.00500000
2		2.2020		2.4169		0.0000		0.1040		0.00477443
3		2.0413		2.4597		0.0000		0.1464		0.00454766
4		1.9685		2.1304		0.0000		0.1458		0.00431963
5		1.8732		2.0374		0.0000		0.1538		0.00409026
6		1.8338		1.9577		0.0000		0.1674		0.00385945
7		1.7860		1.8494		0.0000		0.2061		0.00362709
8		1.7370		1.8298		0.0000		0.2154		0.00339306
9		1.6614		1.8191		0.0000		0.1957		0.00315723
10		1.6433		1.8438		0.0000		0.2005		0.00291942
11		1.6140		1.6643		0.0000		0.2194		0.00267943
12		1.6055		1.6451		0.0000		0.2367		0.00243703
13		1.5626		1.7475		0.0000		0.2236		0.00219192
14		1.5271		1.6109		0.0000		0.2221		0.00194371
15		1.4885		1.6179		0.0000		0.2167		0.00169192
16		1.4673		1.6025		0.0000		0.2460		0.00143587
17		1.4368		1.4811		0.0000		0.2515		0.00117462
18		1.3957		1.5484		0.0000		0.2494		0.00090668
19		1.4028		1.4855		0.0000		0.2659		0.00062946
20		1.3660		1.4891		0.0000		0.2618		0.00033732
